Selection sort:      Bubble sort:
0.00000000   0.00000000
0.00000300   0.00000600
0.00001100   0.00002400
0.00002000   0.00005100
0.00003000   0.00007800
0.00003900   0.00010600
0.00005000   0.00014000
0.00006900   0.00019300
0.00008800   0.00025100
0.00011100   0.00031500
0.00013500   0.00039600
0.00023400   0.00084600
0.00019400   0.00057900
0.00022900   0.00069000
0.00026400   0.00078800
0.00030400   0.00091500
0.00034200   0.00104300
0.00039000   0.00116200
0.00043500   0.00129300
0.00048500   0.00146100
0.00053300   0.00161800
0.00059100   0.00181000
0.00064400   0.00198200
0.00070700   0.00214100
0.00076400   0.00234200
0.00083500   0.00254000
0.00089600   0.00279900
0.00097300   0.00300200
0.00104000   0.00319900
0.00091700   0.00282500
0.00097100   0.00304500
0.00105100   0.00322300
0.00109500   0.00343000
0.00119300   0.00368200
0.00124700   0.00386700
0.00131900   0.00410900
0.00141100   0.00440600
0.00148500   0.00463900
0.00157400   0.00490700
0.00165800   0.00515300
0.00172400   0.00543000
0.00183300   0.00565000
0.00191000   0.00597200
0.00202500   0.00623300
0.00210900   0.00656100
0.00224400   0.00692400
0.00228700   0.00711000
0.00239400   0.00747800
0.00249000   0.00805600
0.00260800   0.00821400
0.00270400   0.00847200
0.00281900   0.00876900
0.00290500   0.00915400
0.00307800   0.00942600
0.00315600   0.00990600
0.00327900   0.01033700
0.00336700   0.01058400
0.00352400   0.01102800
0.00363300   0.01141600
0.00376000   0.01181500
0.00389700   0.01225300
0.00403900   0.01262300
0.00413400   0.01294600
0.00430700   0.01331300
0.00441100   0.01396100
0.00456800   0.01426400
0.00466600   0.01476900
0.00485700   0.01513300
0.00498300   0.01575500
0.00510700   0.01595800
0.00643800   0.02044800
0.00563700   0.01732300
0.00579000   0.01784700
0.00574500   0.01831500
0.00589500   0.01869300
0.00610800   0.01934900
0.00623800   0.01971900
0.00647900   0.02043300
0.00656400   0.02062400
0.00686900   0.02124100
0.00687100   0.02173000
0.00711300   0.02228700
0.00724800   0.02283900
0.00749400   0.02344200
0.00759200   0.02430500
0.00783200   0.02466600
0.00799700   0.02507200
0.00817500   0.02559500
0.00837600   0.02639400
0.00865100   0.02703700
0.00868100   0.02756600
0.00895600   0.02817600
0.00909600   0.02873500
0.00935500   0.02946400
0.00956100   0.03024900
0.00971700   0.03077400
0.00995700   0.03138400
0.01021800   0.03215500
0.01031600   0.03291000
0.01069000   0.03348800
