BubbleSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,14628,18257,28322
400,101876,137622,189016
600,342597,476587,679846
800,798705,1133071,1589385
1000,1519431,2126342,3050976
1200,2649383,3696932,5210478
1400,4183441,5794726,8346092
,,,
SelectionSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,14208,14211,16446
400,97963,116387,124935
600,335513,386260,413210
800,761880,938711,988926
1000,1525139,1795072,1913906
1200,2614711,3091898,3258721
1400,4186060,4991486,5251227
,,,
InsertionSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,282,11216,12299
400,729,67388,95119
600,2057,205462,318976
800,3037,508198,786351
1000,4499,1029318,1504449
1200,7213,1735255,2650084
1400,9921,2726665,4204659
,,,
MergeSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,1880,2185,1757
400,7724,9877,7702
600,18998,21679,17473
800,35470,38896,31653
1000,54650,64324,53407
1200,76860,93901,74006
1400,112841,139051,105919
,,,
QuickSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,15401,1243,12846
400,102772,4833,97225
600,331268,12269,325517
800,771490,21672,756577
1000,1526700,38584,1551599
1200,2682888,56183,2614253
1400,4177787,73325,4137155
,,,
ShellSort,,,
,Time,,
Elements,Best,Random,Worst
0,0,0,0
200,1906,2248,1631
400,5498,9340,7148
600,13305,24154,18440
800,23958,46056,33822
1000,37307,66469,56642
1200,62052,103970,89544
1400,84588,154736,118525
,,,
