ShortestPath,,,
,Time,,
Nodes,Random,,
10,0,,
510,4000,,
1010,18661,,
1510,45348,,
2010,76664,,
2510,111664,,
3010,188348,,
3510,225003,,
4010,329857,,
4510,411478,,
5010,568713,,
5510,655994,,
6010,643690,,
6510,855947,,
7010,1013222,,
7510,1138762,,
8010,1254424,,
8510,1404669,,
9010,1671258,,
9510,3632583,,
10010,1934521,,
10510,2361809,,
11010,3326340,,
11510,3161165,,
12010,3036325,,
12510,3260043,,
13010,3753487,,
13510,3760311,,
14010,3848087,,
14510,4413014,,
,,,
