ShortestPath,,
,Time,
Nodes,Undirected,Directed
0,0,0
500,4335,4000
1000,19678,18661
1500,40506,45348
2000,90153,76664
2500,114504,111664
3000,171538,188348
3500,250648,225003
4000,321066,329857
4500,395515,411478
5000,467803,568713
5500,644000,655994
6000,795853,643690
6500,830888,855947
7000,1002163,1013222
7500,1072712,1138762
8000,1373406,1254424
8500,1445237,1404669
9000,1449653,1671258
9500,1729139,3632583
10000,1959587,1934521
10500,2217936,2361809
11000,2391607,3326340
11500,2553491,3161165
12000,2961740,3036325
12500,2820395,3260043
13000,3501042,3753487
13500,3935586,3760311
14000,3699992,3848087
14500,4166172,4413014
